"respondent","condition","stimuli","accuracy","latency"
7,"Whitegood","wm6",1,625
7,"Whitegood","wicked",1,778
7,"Whitegood","bm56",1,413
7,"Whitegood","joy",1,486
7,"Whitegood","bm23",1,556
7,"Whitegood","evil",1,920
7,"Whitegood","wm4",1,501
7,"Whitegood","wm1",1,403
7,"Whitegood","pleasure",1,413
7,"Whitegood","bf14",1,638
7,"Whitegood","pain",1,510
7,"Whitegood","bf23",1,411
7,"Whitegood","joy",1,508
7,"Whitegood","bf56",1,633
7,"Whitegood","hate",1,546
7,"Whitegood","bm14",1,461
7,"Whitegood","failure",1,589
7,"Whitegood","wm1",1,559
7,"Whitegood","laughter",1,459
7,"Whitegood","wm4",1,465
7,"Whitegood","love",1,496
7,"Whitegood","bf14",1,550
7,"Whitegood","annoying",1,577
7,"Whitegood","bm56",0,931
7,"Whitegood","good",1,1639
7,"Whitegood","bf23",1,792
7,"Whitegood","peace",1,954
7,"Whitegood","wf3",1,478
7,"Whitegood","terrible",1,589
8,"Whitebad","joy",1,1463
8,"Whitebad","bf14",1,1326
8,"Whitebad","laughter",1,819
8,"Whitebad","bm56",1,732
8,"Whitebad","love",1,568
