id	order	test	blocknum	trialnum	correct	latency
4	1	1	6	44	1	914
4	1	1	6	45	1	688
4	1	1	6	46	1	612
4	1	1	6	47	1	941
4	1	1	6	48	1	588
4	1	2	7	1	1	816
4	1	2	7	2	0	914
4	1	2	7	3	1	730
4	1	2	7	4	1	1006
4	1	2	7	5	1	1286
4	1	2	7	6	1	1031
4	1	2	7	7	1	753
4	1	2	7	8	0	1324
4	1	2	7	9	1	732
4	1	2	7	10	1	927
4	1	2	7	11	1	828
4	1	2	7	12	1	1516
4	1	2	7	13	1	641
4	1	2	7	14	0	1078
4	1	2	7	15	1	583
4	1	2	7	16	1	902
4	1	2	7	17	1	651
4	1	2	7	18	1	871
4	1	2	7	19	1	726
4	1	2	7	20	1	1015
4	1	2	7	21	1	649
4	1	2	7	22	1	505
4	1	2	7	23	1	699
4	1	2	7	24	1	630
4	1	2	7	25	1	897
4	1	2	7	26	1	882
4	1	2	7	27	1	604
4	1	2	7	28	1	699
4	1	2	7	29	1	1651
4	1	2	7	30	1	727
4	1	2	7	31	1	884
4	1	2	7	32	1	914
4	1	2	7	33	1	579
4	1	2	7	34	0	1157
4	1	2	7	35	1	727
4	1	2	7	36	1	935
4	1	2	7	37	1	553
4	1	2	7	38	1	538
4	1	2	7	39	1	679
4	1	2	7	40	1	1394
4	1	2	7	41	1	816
4	1	2	7	42	1	1027
4	1	2	7	43	1	614
4	1	2	7	44	1	607
4	1	2	7	45	1	530
4	1	2	7	46	0	943
4	1	2	7	47	1	876
4	1	2	7	48	1	1272
5	1	1	3	1	1	1459
5	1	1	3	2	1	905
5	1	1	3	3	1	883
5	1	1	3	4	1	845
5	1	1	3	5	1	1144
5	1	1	3	6	1	2482
5	1	1	3	7	1	2199
5	1	1	3	8	1	1268
5	1	1	3	9	1	1770
5	1	1	3	10	1	1238
5	1	1	3	11	1	1415
5	1	1	3	12	1	969
5	1	1	3	13	1	1853
5	1	1	3	14	1	1552
5	1	1	3	15	1	1592
5	1	1	3	16	1	1256
5	1	1	3	17	1	856
5	1	1	3	18	1	1146
5	1	1	3	19	1	1154
5	1	1	3	20	1	1143
5	1	1	3	21	1	1139
5	1	1	3	22	1	857
5	1	1	3	23	1	652
5	1	1	3	24	1	1538
5	1	1	3	25	1	1239
5	1	1	3	26	1	858
5	1	1	3	27	1	1213
5	1	1	3	28	1	2006
5	1	1	3	29	1	1089
5	1	1	3	30	1	721
5	1	1	3	31	1	1321
5	1	1	3	32	1	992
5	1	1	3	33	1	1106
5	1	1	3	34	1	979
5	1	1	3	35	1	1445
5	1	1	3	36	1	1538
5	1	1	3	37	1	952
5	1	1	3	38	1	906
5	1	1	3	39	1	788
5	1	1	3	40	1	815
5	1	1	3	41	1	1022
5	1	1	3	42	1	1239
5	1	1	3	43	1	968
5	1	1	3	44	1	1153
5	1	1	3	45	1	895
5	1	1	3	46	1	880
5	1	1	3	47	1	924
5	1	1	3	48	1	1216
5	1	2	4	1	1	860
5	1	2	4	2	1	784
5	1	2	4	3	1	770
